course,dept_abbv,course_no
A A302,A A,302
A A321,A A,321
A S211,A S,211
A S331,A S,331
A S332,A S,332
AAS220,AAS,220
AAS320,AAS,320
AES322,AES,322
AES335,AES,335
AFRAM270,AFRAM,270
AFRAM320,AFRAM,320
AFRAM350,AFRAM,350
AIS103,AIS,103
AIS170,AIS,170
AIS212,AIS,212
AMATH342,AMATH,342
AMATH352,AMATH,352
ANTH303,ANTH,303
ANTH312,ANTH,312
ANTH318,ANTH,318
ANTH361,ANTH,361
ANTH373,ANTH,373
ARAB203,ARAB,203
ARCH300,ARCH,300
ARCH304,ARCH,304
ARCH305,ARCH,305
ARCH315,ARCH,315
ARCH321,ARCH,321
ARCH322,ARCH,322
ARCHY234,ARCHY,234
ARCHY325,ARCHY,325
ARCHY372,ARCHY,372
ARCHY377,ARCHY,377
ARCTIC101,ARCTIC,101
ART H270,ART H,270
ART H272,ART H,272
ART H273,ART H,273
ART H366,ART H,366
ART H374,ART H,374
ART300,ART,300
ART301,ART,301
ART302,ART,302
ART392,ART,392
ARTS350,ARTS,350
ASIAN263,ASIAN,263
ASL203,ASL,203
ASL302,ASL,302
ASTR324,ASTR,324
ATM S301,ATM S,301
ATM S321,ATM S,321
B BIO240,B BIO,240
B BIO330,B BIO,330
B BIO390,B BIO,390
B BUS221,B BUS,221
B BUS340,B BUS,340
B BUS350,B BUS,350
B BUS362,B BUS,362
B BUS363,B BUS,363
B CHEM164,B CHEM,164
B CHEM239,B CHEM,239
B CHEM242,B CHEM,242
B CHEM350,B CHEM,350
B CORE119,B CORE,119
B CUSP188,B CUSP,188
B EDUC230,B EDUC,230
B EDUC330,B EDUC,330
B EE381,B EE,381
B ENGR321,B ENGR,321
B HLTH225,B HLTH,225
B HLTH229,B HLTH,229
B HLTH301,B HLTH,301
B LEAD207,B LEAD,207
B MATH144,B MATH,144
B ME334,B ME,334
B ME345,B ME,345
B PHYS221,B PHYS,221
B PHYS314,B PHYS,314
B PHYS317,B PHYS,317
B SPAN216,B SPAN,216
B WRIT133,B WRIT,133
BEARTH317,BEARTH,317
BES312,BES,312
BES316,BES,316
BHS210,BHS,210
BHS305,BHS,305
BIBHEB102,BIBHEB,102
BIO A300,BIO A,300
BIO A348,BIO A,348
BIO A355,BIO A,355
BIO A372,BIO A,372
BIOEN325,BIOEN,325
BIOEN345,BIOEN,345
BIOL302,BIOL,302
BIOL305,BIOL,305
BIOL310,BIOL,310
BIOL359,BIOL,359
BIOL380,BIOL,380
BIOL385,BIOL,385
BIOST311,BIOST,311
BIS201,BIS,201
BIS231,BIS,231
BIS233,BIS,233
BIS313,BIS,313
BIS317,BIS,317
BIS324,BIS,324
BIS344,BIS,344
BIS363,BIS,363
BIS399,BIS,399
BISAES305,BISAES,305
BISCLA318,BISCLA,318
BISGWS302,BISGWS,302
BISIA250,BISIA,250
BISIA350,BISIA,350
BISMCS333,BISMCS,333
BISSTS231,BISSTS,231
BJAPAN211,BJAPAN,211
BJAPAN212,BJAPAN,212
BSE231,BSE,231
BSE391,BSE,391
BST381,BST,381
C LIT273,C LIT,273
C LIT320,C LIT,320
C LIT371,C LIT,371
CEE348,CEE,348
CEE350,CEE,350
CEP303,CEP,303
CHEM E341,CHEM E,341
CHEM E355,CHEM E,355
CHEM242,CHEM,242
CHEM312,CHEM,312
CHEM346,CHEM,346
CHEM347,CHEM,347
CHID314,CHID,314
CHID390,CHID,390
CHID395,CHID,395
CHIN381,CHIN,381
CHIN385,CHIN,385
CHSTU224,CHSTU,224
CHSTU332,CHSTU,332
CHSTU359,CHSTU,359
CL AR347,CL AR,347
CLAS328,CLAS,328
CM340,CM,340
CMS312,CMS,312
CMS315,CMS,315
COM320,COM,320
COM321,COM,321
COM362,COM,362
COM364,COM,364
COM378,COM,378
CSE352,CSE,352
CSE371,CSE,371
CSE373,CSE,373
CSE374,CSE,374
CSS133,CSS,133
CSS310,CSS,310
CSS320,CSS,320
CSS343,CSS,343
CSS370,CSS,370
CSS385,CSS,385
CSS397,CSS,397
CSSSKL123,CSSSKL,123
CSSSKL133,CSSSKL,133
DANCE111,DANCE,111
DANCE112,DANCE,112
DANCE210,DANCE,210
DANCE212,DANCE,212
DANCE225,DANCE,225
