credential_code,STEM_ind,similar_credential_code,similar_STEM_ind,similarity,similarity_group
A A-0-1-6,1,M E-60-1-6,1,0.8758895993232727,Mid
A A-0-1-6,1,M E-0-1-6,1,0.8575648069381714,Low
A A-0-1-6,1,M E-5-1-6,1,0.8525618314743042,Low
A A-0-1-6,1,ATM S-0-1-5,1,0.8336159586906433,Very Low
A A-0-1-6,1,ATM S-1-1-5,1,0.8280967473983765,Very Low
A A-0-1-6,1,AMATH-0-1-5,1,0.8263841867446899,Very Low
A A-0-1-6,1,ACMS-0-1-5,1,0.8236237168312073,Very Low
A A-0-1-6,1,BIOEN-40-1-6,1,0.8221948742866516,Very Low
A A-0-1-6,1,AMATH-30-1-5,1,0.8221719264984131,Very Low
A A-0-1-6,1,PHYS-1-1-5,1,0.8218252062797546,Very Low
A A-0-1-6,1,BIOEN-0-1-6,1,0.8202393651008606,Very Low
A A-0-1-6,1,MS E-0-1-6,1,0.8196673393249512,Very Low
A A-0-1-6,1,E E-0-1-6,1,0.819473922252655,Very Low
A A-0-1-6,1,ESS-0-1-1,1,0.8193256855010986,Very Low
A A-0-1-6,1,INT EN-0-1-5,1,0.8191583752632141,Very Low
ACCTG-0-1-2,0,ECON-0-1-1,1,0.8602229356765747,Low
ACCTG-0-1-2,0,INFO-10-1-6,1,0.8600547909736633,Low
ACCTG-0-1-2,0,INFO-40-1-6,1,0.8595396280288696,Low
ACCTG-0-1-2,0,INFO-0-1-6,1,0.8582763671875,Low
ACCTG-0-1-2,0,INFO-30-1-6,1,0.8580641150474548,Low
ACCTG-0-1-2,0,STAT-0-1-5,1,0.8493231534957886,Low
ACCTG-0-1-2,0,SIS-0-1-1,0,0.836945652961731,Very Low
ACCTG-11-1-2,0,ECON-0-1-5,1,0.859971821308136,Low
ACCTG-11-1-2,0,SIS-0-1-1,0,0.8404349684715271,Very Low
ACCTG-11-1-2,0,STAT-40-1-5,1,0.8383140563964844,Very Low
ACCTG-11-1-2,0,STAT-50-1-5,1,0.8364853858947754,Very Low
ACCTG-11-1-2,0,CFRM-30-1-5,1,0.8358876705169678,Very Low
ACCTG-11-1-2,0,STAT-0-1-5,1,0.8354175686836243,Very Low
ACCTG-11-1-2,0,R E-0-1-5,1,0.8344972133636475,Very Low
ACCTG-11-1-2,0,CFRM-1-1-5,1,0.8339743614196777,Very Low
ACCTG-11-1-2,0,POL S-70-1-1,0,0.8281038403511047,Very Low
ACCTG-11-1-2,0,POL S-0-1-1,0,0.8267130255699158,Very Low
ACCTG-11-1-2,0,MATH-0-1-1,1,0.8207821249961853,Very Low
ACCTG-11-1-2,0,INFO-0-1-6,1,0.8194355368614197,Very Low
ACCTG-11-1-2,0,PH-0-1-5,0,0.8156283497810364,Very Low
ACMS-0-1-5,1,AMATH-30-1-5,1,0.9343882203102112,High
ACMS-0-1-5,1,AMATH-0-1-5,1,0.9340187311172484,High
ACMS-0-1-5,1,CFRM-30-1-5,1,0.915208339691162,High
ACMS-0-1-5,1,CFRM-1-1-5,1,0.9120555520057678,High
ACMS-0-1-5,1,ATM S-0-1-5,1,0.9041398763656616,High
ACMS-0-1-5,1,STAT-40-1-5,1,0.8988705277442932,High
ACMS-0-1-5,1,STAT-0-1-5,1,0.8971665501594543,High
ACMS-0-1-5,1,MATH-10-1-1,1,0.8946660757064819,High
ACMS-0-1-5,1,MATH-0-1-5,1,0.8944600820541382,High
ACMS-0-1-5,1,C SCI-0-1-5,1,0.878068208694458,Mid
ACMS-0-1-5,1,INT EN-0-1-5,1,0.8699270486831665,Mid
ACMS-0-1-5,1,CMP E-0-1-6,1,0.8654500842094421,Mid
ACMS-0-1-5,1,M E-0-1-6,1,0.8565884232521057,Low
ACMS-10-1-5,1,AMATH-0-1-5,1,0.9317232370376588,High
ACMS-10-1-5,1,AMATH-30-1-5,1,0.9315266609191896,High
ACMS-10-1-5,1,CFRM-30-1-5,1,0.9124222993850708,High
ACMS-10-1-5,1,CFRM-1-1-5,1,0.9085527062416076,High
ACMS-10-1-5,1,ATM S-0-1-5,1,0.8946376442909241,High
ACMS-10-1-5,1,STAT-40-1-5,1,0.8921847343444824,High
ACMS-10-1-5,1,MATH-70-1-1,1,0.8913173079490662,High
ACMS-10-1-5,1,MATH-0-1-5,1,0.8912287950515747,High
ACMS-10-1-5,1,MATH-10-1-1,1,0.8911012411117554,High
ACMS-10-1-5,1,STAT-0-1-5,1,0.8893778324127197,High
ACMS-10-1-5,1,C SCI-0-1-5,1,0.8796968460083008,Mid
ACMS-10-1-5,1,CMP E-0-1-6,1,0.865586519241333,Mid
ACMS-10-1-5,1,INT EN-0-1-6,1,0.8650055527687073,Mid
ACMS-10-1-5,1,M E-0-1-6,1,0.8535516262054443,Low
ACMS-20-1-5,1,AMATH-30-1-5,1,0.936192274093628,High
ACMS-20-1-5,1,AMATH-0-1-5,1,0.9354064464569092,High
ACMS-20-1-5,1,CFRM-30-1-5,1,0.9106058478355408,High
ACMS-20-1-5,1,CFRM-1-1-5,1,0.9081000089645386,High
ACMS-20-1-5,1,ATM S-0-1-5,1,0.8995215892791748,High
ACMS-20-1-5,1,STAT-40-1-5,1,0.8875023126602173,High
ACMS-20-1-5,1,STAT-0-1-5,1,0.8859009146690369,High
ACMS-20-1-5,1,MATH-0-1-5,1,0.8854575157165527,High
ACMS-20-1-5,1,MATH-10-1-1,1,0.8851640820503235,High
ACMS-20-1-5,1,C SCI-0-1-5,1,0.8701208829879761,Mid
ACMS-20-1-5,1,INT EN-0-1-6,1,0.860084593296051,Low
ACMS-20-1-5,1,CMP E-0-1-6,1,0.8520256280899048,Low
ACMS-20-1-5,1,M E-0-1-6,1,0.8422309160232544,Very Low
ACMS-30-1-5,1,AMATH-30-1-5,1,0.9353655576705932,High
ACMS-30-1-5,1,AMATH-0-1-5,1,0.9350376725196838,High
ACMS-30-1-5,1,CFRM-30-1-5,1,0.9125826358795166,High
ACMS-30-1-5,1,CFRM-1-1-5,1,0.9092198610305786,High
ACMS-30-1-5,1,ATM S-0-1-5,1,0.9011595249176024,High
ACMS-30-1-5,1,STAT-40-1-5,1,0.8881981372833252,High
ACMS-30-1-5,1,MATH-70-1-1,1,0.8868376016616821,High
ACMS-30-1-5,1,MATH-0-1-5,1,0.8866394758224487,High
ACMS-30-1-5,1,STAT-0-1-5,1,0.8864198327064514,High
ACMS-30-1-5,1,M E-5-1-6,1,0.8861318230628967,High
ACMS-30-1-5,1,C SCI-0-1-5,1,0.8795883059501648,Mid
ACMS-30-1-5,1,CMP E-0-1-6,1,0.8635450005531311,Mid
ACMS-30-1-5,1,INT EN-0-1-5,1,0.8629330992698669,Mid
ACMS-30-1-5,1,M E-0-1-6,1,0.8463887572288513,Very Low
ACMS-40-1-5,1,AMATH-0-1-5,1,0.9181256890296936,High
ACMS-40-1-5,1,AMATH-30-1-5,1,0.917954683303833,High
ACMS-40-1-5,1,STAT-40-1-5,1,0.9178237915039062,High
ACMS-40-1-5,1,STAT-0-1-5,1,0.9166525602340698,High
ACMS-40-1-5,1,MATH-0-1-5,1,0.9112555384635924,High
ACMS-40-1-5,1,STAT-15-1-5,1,0.9111489057540894,High
ACMS-40-1-5,1,STAT-50-1-5,1,0.9108797311782836,High
ACMS-40-1-5,1,MATH-10-1-1,1,0.909608781337738,High
ACMS-40-1-5,1,CFRM-30-1-5,1,0.9066486954689026,High
ACMS-40-1-5,1,ATM S-0-1-5,1,0.8951985239982605,High
ACMS-40-1-5,1,C SCI-0-1-5,1,0.8794388175010681,Mid
ACMS-40-1-5,1,INT EN-0-1-5,1,0.8699227571487427,Mid
ACMS-40-1-5,1,CMP E-0-1-6,1,0.8640006184577942,Mid
ACMS-40-1-5,1,ECON-0-1-1,1,0.8480923175811768,Low
ACMS-50-1-5,1,AMATH-30-1-5,1,0.9360976219177246,High
ACMS-50-1-5,1,AMATH-0-1-5,1,0.9355022311210632,High
ACMS-50-1-5,1,CFRM-30-1-5,1,0.9142884612083436,High
ACMS-50-1-5,1,CFRM-1-1-5,1,0.9110172986984252,High
ACMS-50-1-5,1,ATM S-0-1-5,1,0.901214599609375,High
ACMS-50-1-5,1,STAT-40-1-5,1,0.8925946354866028,High
ACMS-50-1-5,1,STAT-0-1-5,1,0.8904538750648499,High
ACMS-50-1-5,1,MATH-0-1-5,1,0.8884860873222351,High
ACMS-50-1-5,1,MATH-70-1-1,1,0.8882352113723755,High
ACMS-50-1-5,1,C SCI-0-1-5,1,0.8780452013015747,Mid
ACMS-50-1-5,1,INT EN-0-1-6,1,0.8647979497909546,Mid
ACMS-50-1-5,1,CMP E-0-1-6,1,0.8619806170463562,Mid
ACMS-50-1-5,1,M E-0-1-6,1,0.8457461595535278,Very Low
ACMS-70-1-5,1,CFRM-30-1-5,1,0.922931969165802,High
ACMS-70-1-5,1,AMATH-0-1-5,1,0.9227953553199768,High
ACMS-70-1-5,1,AMATH-30-1-5,1,0.92183655500412,High
ACMS-70-1-5,1,CFRM-1-1-5,1,0.9193207025527954,High
ACMS-70-1-5,1,STAT-40-1-5,1,0.9117718935012816,High
ACMS-70-1-5,1,STAT-0-1-5,1,0.9073349833488464,High
ACMS-70-1-5,1,MATH-0-1-1,1,0.9067040085792542,High
ACMS-70-1-5,1,MATH-70-1-1,1,0.9053550362586976,High
ACMS-70-1-5,1,STAT-50-1-5,1,0.9040470719337464,High
ACMS-70-1-5,1,ATM S-0-1-5,1,0.8845354914665222,High
ACMS-70-1-5,1,ECON-0-1-5,1,0.8655245304107666,Mid
ACMS-70-1-5,1,C SCI-0-1-5,1,0.8596550822257996,Low
ACMS-70-1-5,1,CMP E-0-1-6,1,0.8486276268959045,Low
ACMS-70-1-5,1,INT EN-0-1-5,1,0.8465663194656372,Very Low
ACMS-80-1-5,1,AMATH-30-1-5,1,0.9324507117271424,High
ACMS-80-1-5,1,AMATH-0-1-5,1,0.9321122169494628,High
ACMS-80-1-5,1,CFRM-30-1-5,1,0.9145114421844482,High
ACMS-80-1-5,1,CFRM-1-1-5,1,0.9107826948165894,High
ACMS-80-1-5,1,ATM S-0-1-5,1,0.9063718318939208,High
ACMS-80-1-5,1,STAT-40-1-5,1,0.906222403049469,High
ACMS-80-1-5,1,STAT-0-1-5,1,0.9038937091827391,High
ACMS-80-1-5,1,STAT-15-1-5,1,0.8986270427703857,High
ACMS-80-1-5,1,STAT-50-1-5,1,0.897895872592926,High
ACMS-80-1-5,1,MATH-0-1-5,1,0.8961308598518372,High
ACMS-80-1-5,1,C SCI-0-1-5,1,0.875324010848999,Mid
